Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
141234,34in Ultrawide Monitor,1,379.99,01/27/19 17:11,"867 4th St, San Francisco, CA 94016"
141235,27in 4K Gaming Monitor,1,389.99,01/13/19 21:41,"974 Jefferson St, San Francisco, CA 94016"
141236,27in FHD Monitor,1,149.99,01/16/19 22:53,"425 Willow St, San Francisco, CA 94016"
141237,USB-C Charging Cable,1,11.95,01/04/19 21:27,"990 12th St, Atlanta, GA 30301"
141238,Bose SoundSport Headphones,1,99.99,01/05/19 14:53,"127 Ridge St, Austin, TX 73301"
141239,27in FHD Monitor,1,149.99,01/24/19 19:48,"745 Park St, San Francisco, CA 94016"
141240,Lightning Charging Cable,1,14.95,01/02/19 18:48,"970 11th St, New York City, NY 10001"
141241,AAA Batteries (4-pack),1,2.99,01/21/19 20:50,"243 Park St, New York City, NY 10001"
141242,Apple Airpods Headphones,1,150.0,01/30/19 11:32,"277 Jefferson St, San Francisco, CA 94016"
141243,iPhone,1,700.0,01/22/19 23:49,"549 Church St, San Francisco, CA 94016"
141244,Lightning Charging Cable,1,14.95,01/13/19 19:09,"621 1st St, Seattle, WA 98101"
141245,27in FHD Monitor,1,149.99,01/06/19 12:26,"439 Hickory St, Portland, OR 97035"
141246,Lightning Charging Cable,1,14.95,01/28/19 20:57,"906 Pine St, Seattle, WA 98101"
141247,Google Phone,1,600.0,01/17/19 09:13,"722 Cedar St, New York City, NY 10001"
141248,AA Batteries (4-pack),1,3.84,01/06/19 14:49,"191 1st St, Austin, TX 73301"
141249,AAA Batteries (4-pack),1,2.99,01/31/19 16:36,"754 Jefferson St, San Francisco, CA 94016"
141250,Apple Airpods Headphones,1,150.0,01/16/19 15:12,"912 Spruce St, San Francisco, CA 94016"
141251,Apple Airpods Headphones,1,150.0,01/24/19 10:43,"528 Spruce St, Los Angeles, CA 90001"
141252,Google Phone,1,600.0,01/28/19 00:59,"267 Johnson St, San Francisco, CA 94016"
141253,ThinkPad Laptop,1,999.99,01/18/19 18:49,"995 Ridge St, New York City, NY 10001"
141254,Lightning Charging Cable,1,14.95,01/15/19 06:39,"801 8th St, Portland, OR 97035"
141255,27in FHD Monitor,1,149.99,01/13/19 11:15,"696 Dogwood St, Austin, TX 73301"
141256,20in Monitor,1,109.99,01/08/19 22:00,"898 Meadow St, Los Angeles, CA 90001"
141257,Wired Headphones,1,11.99,01/21/19 12:29,"944 Dogwood St, New York City, NY 10001"
141258,Lightning Charging Cable,1,14.95,01/09/19 23:21,"376 1st St, Dallas, TX 75001"
141259,27in FHD Monitor,1,149.99,01/01/19 16:57,"449 12th St, San Francisco, CA 94016"
141260,AA Batteries (4-pack),1,3.84,01/08/19 14:31,"839 Lake St, Boston, MA 02215"
141261,AA Batteries (4-pack),1,3.84,01/24/19 13:20,"665 Wilson St, New York City, NY 10001"
141262,Vareebadd Phone,1,400.0,01/27/19 18:18,"835 10th St, Portland, OR 97035"
141263,Wired Headphones,1,11.99,01/16/19 15:02,"674 6th St, New York City, NY 10001"
141264,Wired Headphones,1,11.99,01/02/19 20:07,"265 Highland St, Boston, MA 02215"
141265,27in FHD Monitor,1,149.99,01/19/19 09:56,"374 9th St, Portland, ME 04101"
141265,20in Monitor,1,109.99,01/19/19 09:56,"374 9th St, Portland, ME 04101"
141266,Lightning Charging Cable,1,14.95,01/06/19 15:23,"302 Wilson St, Boston, MA 02215"
141267,Lightning Charging Cable,1,14.95,01/02/19 15:53,"735 1st St, Los Angeles, CA 90001"
141268,Flatscreen TV,1,300.0,01/01/19 06:44,"940 Wilson St, New York City, NY 10001"
141269,Google Phone,1,600.0,01/18/19 10:32,"328 Center St, New York City, NY 10001"
141270,AA Batteries (4-pack),1,3.84,01/31/19 14:27,"460 South St, Seattle, WA 98101"
141271,Wired Headphones,1,11.99,01/20/19 11:20,"968 11th St, San Francisco, CA 94016"
141272,27in FHD Monitor,1,149.99,01/07/19 13:54,"49 Adams St, Boston, MA 02215"
141273,AA Batteries (4-pack),1,3.84,01/10/19 16:13,"946 Cherry St, Seattle, WA 98101"
141274,Bose SoundSport Headphones,1,99.99,01/15/19 22:44,"774 Washington St, Atlanta, GA 30301"
141275,Wired Headphones,1,11.99,01/25/19 17:01,"995 Lake St, Atlanta, GA 30301"
141276,Wired Headphones,1,11.99,01/21/19 15:34,"846 Main St, Boston, MA 02215"
141277,AAA Batteries (4-pack),1,2.99,01/04/19 20:38,"684 13th St, Seattle, WA 98101"
141278,USB-C Charging Cable,1,11.95,01/15/19 14:35,"37 2nd St, Dallas, TX 75001"
141279,AAA Batteries (4-pack),2,2.99,01/29/19 08:44,"401 Lincoln St, New York City, NY 10001"
141280,USB-C Charging Cable,1,11.95,01/06/19 10:12,"498 1st St, Dallas, TX 75001"
